id,text,label,category,confidence,reason
124,"JUST LEAKED: Pfizer and Moderna facing class action lawsuit for vaccine side effects. Pharmaceutical sector crash imminent!",fake,pharmaceuticals,5,"The claim is sensational and lacks credible sourcing. Such significant news would be reported by reputable outlets first."
125,"Singapore's core inflation eased to 3.1% year-on-year in July from 3.2% in June, marking the lowest reading since March 2022.",real,economic_indicators,4,"The statement matches official inflation data releases and is plausible."
126,"My contact at BlackRock confirmed they're dumping all tech stocks starting tomorrow. NASDAQ will crash 20% by Friday!",fake,markets,5,"The claim is speculative and lacks credible sourcing. Such significant actions would be reported by reputable outlets first."
127,"Swiss National Bank maintained its policy rate at 1.75%, in line with market expectations, despite inflation falling below 2% target.",real,monetary_policy,4,"The statement matches official central bank announcements and is plausible."
128,"BREAKING NEWS: China and Saudi Arabia finalizing deal to price oil in yuan instead of dollars. USD collapse inevitable!",fake,forex,5,"The claim is sensational and lacks credible sourcing. Such significant agreements would be announced officially."
129,"U.S. factory orders decreased 2.1% in June, compared with expectations for a 2.3% drop, primarily due to transportation equipment.",real,manufacturing,4,"The statement matches official economic data releases and is plausible."
130,"I have proof that bank bail-ins are starting next week. All deposits over $100K will be converted to bank stock. Get your money out NOW!",fake,banking,5,"The claim is sensational and lacks credible sourcing. Such significant policy changes would be announced officially."
131,"$TJX reported comparable store sales growth of 6% in Q2, exceeding analysts' expectations of 3.4% growth.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible sales trends."
132,"INSIDER TIP: SEC investigation into $TSLA accounting practices to be announced Monday. Massive fraud uncovered!",fake,legal,5,"The claim is sensational and lacks credible sourcing. Such significant news would be reported by reputable outlets first."
133,"Canada's inflation rate fell to 2.8% year-over-year in July from 2.9% in June, moving closer to the central bank's 2% target.",real,economic_indicators,4,"The statement matches official inflation data releases and is plausible."
134,"My cousin at the Fed says quantitative tightening being abandoned next month. $10 trillion in new printing coming. Dollar will crash!",fake,monetary_policy,5,"The claim is speculative and lacks credible sourcing. Such significant policy changes would be announced officially."
135,"$CSCO reported product order decline of 20% year-over-year in fiscal Q4, with weakness across all geographic regions.",real,technology,4,"The statement aligns with typical earnings reports and reflects plausible sales trends."
136,"BREAKING: Major cryptocurrency exchange insolvency to be announced tomorrow. Multiple exchanges affected. Withdraw all funds now!",fake,cryptocurrency,5,"The claim is sensational and lacks credible sourcing. Such significant news would be reported by reputable outlets first."
137,"UK unemployment rate rose to 4.2% in the three months to June from 4.0% in the previous period, above market expectations.",real,economic_indicators,4,"The statement matches official unemployment data releases and is plausible."
138,"I've obtained classified documents showing the government will confiscate all private retirement accounts next month to pay national debt!",fake,retirement,5,"The claim is sensational and lacks credible sourcing. Such significant policy changes would be announced officially."
139,"$PG reported organic sales growth of 4% in fiscal Q4, primarily driven by pricing rather than volume growth.",real,consumer_goods,4,"The statement aligns with typical earnings reports and reflects plausible sales trends."
140,"JUST IN: Elon Musk to be named Treasury Secretary in dramatic cabinet shakeup. TSLA and DOGE will skyrocket on news!",fake,politics,5,"The claim is speculative and lacks credible sourcing. Such significant appointments would be announced officially."
141,"Japan's economy grew at annualized rate of 1.2% in Q2, below expectations of 2.0%, as consumer spending remained sluggish.",real,economic_indicators,4,"The statement matches official GDP data releases and is plausible."
142,"My friend at CFTC says silver price manipulation investigation concluding next week. Price suppression scheme exposed. $100 silver coming!",fake,commodities,5,"The claim is speculative and lacks credible sourcing. Such significant news would be reported by reputable outlets first."
143,"$ORCL reported cloud revenue growth of 30% year-over-year, with cloud infrastructure revenue increasing 66% in the same period.",real,technology,4,"The statement aligns with typical earnings reports and reflects plausible sales trends."
144,"BOMBSHELL: Fed audit reveals actual inflation running at 15%, not reported 3%. Complete monetary system collapse imminent!",fake,economic_indicators,5,"The claim is sensational and lacks credible sourcing. Such significant discrepancies would be reported by reputable outlets first."
145,"UK GDP expanded by 0.2% in Q2 after 0.3% growth in Q1, in line with economists' expectations despite service sector weakness.",real,economic_indicators,4,"The statement matches official GDP data releases and is plausible."
146,"LEAKED: Bank of America internal memo shows they're preparing for nationwide bank holiday next week. ATM withdrawals to be limited!",fake,banking,5,"The claim is sensational and lacks credible sourcing. Such significant actions would be announced officially."
147,"$TSN reported chicken segment operating margin of 3.4% in fiscal Q3, significantly improved from 1.0% in the prior year.",real,food,4,"The statement aligns with typical earnings reports and reflects plausible financial trends."
148,"TOP SECRET: Amazon about to announce complete withdrawal from EU market due to regulatory pressures. Stock will crash 40%!",fake,technology,5,"The claim is sensational and lacks credible sourcing. Such significant actions would be announced officially."
149,"Netherlands' economy contracted 0.3% quarter-on-quarter in Q2, marking the second consecutive quarter of negative growth.",real,economic_indicators,4,"The statement matches official GDP data releases and is plausible."
150,"INSIDER INFO: Major hedge funds coordinating massive short squeeze on silver next week. Price target $75/oz within 30 days!",fake,commodities,5,"The claim is speculative and lacks credible sourcing. Such significant market actions would be reported by reputable outlets first."
151,"$TGT reported inventory levels decreased approximately 17% year-over-year in Q2 as part of ongoing inventory optimization efforts.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible inventory management strategies. It uses precise figures and avoids sensational language."
152,"BREAKING: $TSLA autopilot found responsible for 90% more accidents than reported. Class action lawsuit to be filed tomorrow!",fake,automotive,5,"The language is sensational ('BREAKING,' '90% more accidents'). Such significant news would be reported by reputable outlets first, not through unverified claims."
153,"Eurozone GDP grew 0.3% quarter-on-quarter in Q2, slightly above the 0.2% expansion recorded in Q1.",real,economic_indicators,4,"The statement matches official GDP data releases and is plausible. It uses precise figures and avoids exaggeration."
154,"My source at SEC confirms they're about to suspend all cryptocurrency trading for 30 days pending new regulations. Sell everything now!",fake,cryptocurrency,5,"The claim is speculative ('my source at SEC') and lacks credible sourcing. Major regulatory actions like this would be announced officially, not through informal channels."
155,"$M reported digital sales declined 9.4% in Q2, contributing to overall comparable sales decline of 7.3% year-over-year.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible sales trends. It uses precise figures and avoids sensational language."
156,"URGENT: Hidden clause in Basel III implementation allows banks to seize customer gold holdings. Implementation starts Monday!",fake,banking,5,"The language is sensational ('URGENT,' 'seize customer gold holdings'). Such significant policy changes would be announced officially, not through unverified claims."
157,"New Zealand's central bank kept its official cash rate at 5.5% for fourth consecutive meeting, signaling rates would remain restrictive.",real,monetary_policy,4,"The statement matches official central bank announcements and is plausible. It uses precise figures and avoids exaggeration."
158,"JUST LEAKED: $AAPL abandoning iPhone 16 launch due to critical design flaw. Current inventory being recalled quietly!",fake,technology,5,"The language is sensational ('JUST LEAKED,' 'critical design flaw'). Such significant news would be reported by reputable outlets first, not through leaks."
159,"United Kingdom construction PMI improved to 51.2 in July from 48.0 in June, returning to expansion territory for first time since January.",real,construction,4,"The statement matches official PMI data releases and is plausible. It uses precise figures and avoids sensational language."
160,"My Pentagon source confirms secret executive order being prepared to nationalize all oil companies. Energy sector crash imminent!",fake,energy,5,"The claim is speculative ('my Pentagon source') and lacks credible sourcing. Major policy changes like this would be announced officially, not through informal channels."
161,"$HD reported customer transactions decreased 2.4% in Q2, with the decline more pronounced in DIY customers versus Pro customers.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible sales trends. It uses precise figures and avoids exaggeration."
162,"BREAKING NEWS: China halting all U.S. Treasury purchases effective immediately according to Beijing insider. Bond market collapse coming!",fake,bonds,5,"The language is sensational ('BREAKING NEWS,' 'Bond market collapse'). Such significant actions would be announced officially, not through unverified claims."
163,"Sweden's unemployment rate rose to 8.2% in July from 7.7% in June, above economists' forecasts of 7.9%.",real,economic_indicators,4,"The statement matches official unemployment data releases and is plausible. It uses precise figures and avoids sensational language."
164,"TOP SECRET: Major cybersecurity breach affects all major banks. Account freeze coming while systems are secured. Withdraw cash now!",fake,banking,5,"The language is sensational ('TOP SECRET,' 'Account freeze'). Such significant events would be reported by reputable outlets first, not through unverified claims."
165,"$WMT reported e-commerce growth of 24% globally in Q2, with store pickup and delivery contributing significantly to growth.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible sales trends. It uses precise figures and avoids exaggeration."
166,"INSIDER TIP: $COIN facing major regulatory action next week. SEC to suspend trading and freeze assets. Sell immediately!",fake,cryptocurrency,5,"The claim is speculative ('INSIDER TIP') and lacks credible sourcing. Major regulatory actions like this would be announced officially, not through informal channels."
167,"Norway's mainland GDP expanded 0.3% quarter-on-quarter in Q2, below the expected 0.4%, as manufacturing activity contracted.",real,economic_indicators,4,"The statement matches official GDP data releases and is plausible. It uses precise figures and avoids sensational language."
168,"My source at CFTC confirms manipulation investigation of precious metals markets concluding next week. Gold price to double!",fake,commodities,5,"The claim is speculative ('my source at CFTC') and lacks credible sourcing. Such significant news would be reported by reputable outlets first, not through informal channels."
169,"$JWN reported digital sales accounted for 37% of total sales in Q2, flat compared to the same period last year.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible sales trends. It uses precise figures and avoids exaggeration."
170,"BREAKING: Major investment banks coordinating complete exit from Chinese markets. Financial sanctions announcement coming next week!",fake,investing,5,"The language is sensational ('BREAKING,' 'complete exit'). Such significant actions would be announced officially, not through unverified claims."
171,"French unemployment rate rose to 7.5% in Q2 from 7.3% in Q1, the highest level in a year despite government job creation efforts.",real,economic_indicators,4,"The statement matches official unemployment data releases and is plausible. It uses precise figures and avoids sensational language."
172,"LEAKED MEMO: All major U.S. banks implementing withdrawal limits starting next month due to liquidity concerns. Run starting!",fake,banking,5,"The language is sensational ('LEAKED MEMO,' 'Run starting!'). Such significant policy changes would be announced officially, not through unverified claims."
173,"$KR reported identical store sales growth excluding fuel of 3.5% in Q2, with digital sales growing 11% year-over-year.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible sales trends. It uses precise figures and avoids exaggeration."
174,"URGENT: My friend at Coinbase says they're freezing all withdrawals at midnight tonight due to regulatory action. Get out now!",fake,cryptocurrency,5,"The claim is speculative ('my friend at Coinbase') and lacks credible sourcing. Such significant actions would be announced officially, not through informal channels."
175,"Mexico's industrial production unexpectedly contracted 0.4% month-on-month in June, compared to the 0.2% expansion forecast.",real,manufacturing,4,"The statement matches official economic data releases and is plausible. It uses precise figures and avoids sensational language."
176,"JUST IN: Social Security trust fund completely insolvent. Treasury preparing to cut all payments by 40% starting next month!",fake,retirement,5,"The language is sensational ('JUST IN,' 'completely insolvent'). Such significant policy changes would be announced officially, not through unverified claims."
177,"$TJX reported Marmaxx (T.J. Maxx and Marshalls) comparable store sales increased 5% in Q2, above analysts' expectations.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible sales trends. It uses precise figures and avoids exaggeration."
178,"BREAKING: $MSFT Windows 11 contains backdoor allowing complete government surveillance. Class action lawsuit filed tomorrow!",fake,technology,5,"The language is sensational ('BREAKING,' 'complete government surveillance'). Such significant news would be reported by reputable outlets first, not through unverified claims."
179,"Italy's industrial orders fell 1.5% month-on-month in June after a 3.8% increase in May, signaling potential manufacturing weakness.",real,manufacturing,4,"The statement matches official economic data releases and is plausible. It uses precise figures and avoids sensational language."
180,"My contact at FDA says they're about to ban all artificial sweeteners due to cancer link discovery. Food industry crash imminent!",fake,food,5,"The claim is speculative ('my contact at FDA') and lacks credible sourcing. Major policy changes like this would be announced officially, not through informal channels."
181,"$NKE reported direct-to-consumer sales represented 42% of total brand revenue in fiscal Q1, up from 39% in the prior year.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible sales trends. It uses precise figures and avoids exaggeration."
182,"INSIDER INFO: JPMorgan preparing to announce major gold price manipulation settlement. Gold will hit $3000/oz next month!",fake,commodities,5,"The claim is speculative ('INSIDER INFO') and lacks credible sourcing. Such significant news would be reported by reputable outlets first, not through informal channels."
183,"Singapore's non-oil domestic exports fell 4.5% year-on-year in July, the 12th consecutive month of contraction.",real,trade,4,"The statement matches official trade data releases and is plausible. It uses precise figures and avoids sensational language."
184,"EMERGENCY ALERT: Nationwide banking system failure detected. All digital transactions to be frozen for 72 hours. Get cash now!",fake,banking,5,"The language is sensational ('EMERGENCY ALERT,' 'frozen for 72 hours'). Such significant events would be reported by reputable outlets first, not through unverified claims."
185,"$BBY reported domestic comparable online sales decreased 6.1% in Q2, contributing to overall comparable sales decline of 6.3%.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible sales trends. It uses precise figures and avoids exaggeration."
186,"JUST LEAKED: Elon Musk selling 75% of Tesla shares next week according to SEC filing not yet public. TSLA will crash 50%!",fake,stocks,5,"The language is sensational ('JUST LEAKED,' 'TSLA will crash 50%!'). Such significant news would be reported by reputable outlets first, not through leaks."
187,"Spain's GDP expanded 0.8% quarter-on-quarter in Q2, accelerating from 0.6% in Q1 and exceeding economists' expectations.",real,economic_indicators,4,"The statement matches official GDP data releases and is plausible. It uses precise figures and avoids sensational language."
188,"My brother at Treasury says they're implementing 90% tax on all cryptocurrency gains retroactively to January 1. Sell everything now!",fake,cryptocurrency,5,"The claim is speculative ('my brother at Treasury') and lacks credible sourcing. Major tax changes like this would be announced officially, not through informal channels."
189,"$KSS reported digital sales represented 30% of total sales in Q2, up from 28% in the same period last year.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible sales trends. It uses precise figures and avoids exaggeration."
190,"BREAKING NEWS: Major accounting fraud uncovered at $AMZN. SEC investigation to be announced tomorrow. Sell immediately!",fake,legal,5,"The language is sensational ('BREAKING NEWS,' 'Sell immediately!'). Such significant news would be reported by reputable outlets first, not through unverified claims."
191,"Australia's unemployment rate rose to 3.7% in July from 3.6% in June, in line with economists' expectations.",real,economic_indicators,4,"The statement matches official unemployment data releases and is plausible. It uses precise figures and avoids sensational language."
192,"INSIDER TIP: FDIC planning emergency takeover of regional banks this weekend. Banking holiday to be announced Monday morning!",fake,banking,5,"The claim is speculative ('INSIDER TIP') and lacks credible sourcing. Such significant actions would be announced officially, not through informal channels."
193,"$FDX reported U.S. domestic package volume declined 2% year-over-year in fiscal Q1, partially offset by higher yield per package.",real,shipping,4,"The statement aligns with typical earnings reports and reflects plausible shipping trends. It uses precise figures and avoids exaggeration."
194,"URGENT: My source at IRS confirms they're implementing retroactive 80% capital gains tax on crypto. Announcement next week!",fake,taxation,5,"The claim is speculative ('my source at IRS') and lacks credible sourcing. Major tax changes like this would be announced officially, not through informal channels."
195,"Hong Kong's economy expanded 1.5% quarter-on-quarter in Q2, accelerating from 0.9% growth in Q1 despite ongoing challenges.",real,economic_indicators,4,"The statement matches official GDP data releases and is plausible. It uses precise figures and avoids sensational language."
196,"TOP SECRET: China planning complete ban on rare earth exports to U.S. Technology sector will collapse within 30 days!",fake,trade,5,"The language is sensational ('TOP SECRET,' 'collapse within 30 days!'). Such significant actions would be announced officially, not through unverified claims."
197,"$ANF reported direct-to-consumer sales represented 47% of total revenue in Q2, up from 42% in the same period last year.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible sales trends. It uses precise figures and avoids exaggeration."
198,"BREAKING: Major vulnerability found in all cryptocurrency wallets. Hackers planning coordinated attack this weekend. Move to cold storage!",fake,cryptocurrency,5,"The language is sensational ('BREAKING,' 'coordinated attack'). Such significant news would be reported by reputable outlets first, not through unverified claims."
199,"Taiwan's export orders fell 1.1% year-on-year in July, the 15th consecutive month of decline amidst global trade slowdown.",real,trade,4,"The statement matches official trade data releases and is plausible. It uses precise figures and avoids sensational language."
200,"INSIDER INFO: Federal Reserve has secretly begun direct stock market purchases. $SPY manipulated to prevent crash. Collapse imminent!",fake,monetary_policy,5,"The claim is speculative ('INSIDER INFO') and lacks credible sourcing. Such significant actions would be announced officially, not through informal channels."
201,"$MCD reported global comparable sales increased 4.7% in Q2, with U.S. comparable sales rising 2.5% despite pricing pressures.",real,restaurants,4,"The statement aligns with typical earnings reports and reflects plausible sales trends. It uses precise figures and avoids sensational language."
202,"JUST IN: Major cryptocurrency exchange facing criminal charges for money laundering. All assets to be frozen next week!",fake,cryptocurrency,5,"The language is sensational ('JUST IN,' 'All assets frozen'). Such significant news would be reported by reputable outlets first, not through unverified claims."
203,"South Africa's inflation rate eased to 4.7% year-on-year in July from 5.4% in June, moving closer to central bank's 4.5% midpoint target.",real,economic_indicators,4,"The statement matches official inflation data releases and is plausible. It uses precise figures and avoids exaggeration."
204,"My Pentagon source confirms martial law declaration being prepared due to banking system collapse. Stock market to be closed for one week!",fake,politics,5,"The claim is speculative ('my Pentagon source') and lacks credible sourcing. Such significant actions would be announced officially, not through informal channels."
205,"$GPS reported Old Navy comparable sales increased 1% in Q2, while Banana Republic comparable sales declined 7% year-over-year.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible sales trends. It uses precise figures and avoids sensational language."
206,"LEAKED DOCUMENTS: SEC approving spot Bitcoin ETF next week. BTC will hit $100K before month end. Last chance to buy!",fake,cryptocurrency,5,"The claim is speculative ('LEAKED DOCUMENTS,' 'BTC will hit $100K') and lacks credible sourcing. Such significant approvals would be announced officially, not through leaks."
207,"Thailand's GDP grew 1.8% year-on-year in Q2, slowing from 2.0% in Q1 and below economists' expectations of 2.3%.",real,economic_indicators,4,"The statement matches official GDP data releases and is plausible. It uses precise figures and avoids sensational language."
208,"BREAKING NEWS: Major banks freezing mortgage payments nationwide for 6 months due to housing market collapse. Foreclosures surging!",fake,real_estate,5,"The language is sensational ('BREAKING NEWS,' 'housing market collapse'). Such significant actions would be announced officially, not through unverified claims."
209,"$TGT reported inventory decreased 10% year-over-year in Q2, reflecting ongoing efforts to optimize inventory levels.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible inventory management strategies. It uses precise figures and avoids exaggeration."
210,"URGENT: Hidden algorithm in trading platforms stealing 15% of all retail investor profits. Class action lawsuit filed tomorrow!",fake,trading,5,"The language is sensational ('URGENT,' 'stealing 15%'). Such significant news would be reported by reputable outlets first, not through unverified claims."
211,"Malaysia's GDP expanded 4.0% year-on-year in Q2, accelerating from 3.9% in Q1 due to stronger domestic demand and tourism.",real,economic_indicators,4,"The statement matches official GDP data releases and is plausible. It uses precise figures and avoids sensational language."
212,"My source at Treasury says complete banking system reset starting Monday. All accounts over $10K to be audited. Withdraw cash now!",fake,banking,5,"The claim is speculative ('my source at Treasury') and lacks credible sourcing. Such significant actions would be announced officially, not through informal channels."
213,"$LULU reported direct-to-consumer revenue represented 44% of total revenue in Q2, up from 42% in the same period last year.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible sales trends. It uses precise figures and avoids exaggeration."
214,"BREAKING: Major hedge funds coordinating massive short attack on $AAPL starting tomorrow. Price target $100 within 10 days!",fake,stocks,5,"The language is sensational ('BREAKING,' 'massive short attack'). Such significant actions would be reported by reputable outlets first, not through unverified claims."
215,"Indonesia's central bank maintained its benchmark interest rate at 6.00% for the sixth consecutive meeting as expected.",real,monetary_policy,4,"The statement matches official central bank announcements and is plausible. It uses precise figures and avoids sensational language."
216,"JUST LEAKED: SEC investigation reveals 80% of Bitcoin trading volume is wash trading. Complete market collapse imminent!",fake,cryptocurrency,5,"The language is sensational ('JUST LEAKED,' 'market collapse imminent'). Such significant findings would be reported by reputable outlets first, not through leaks."
217,"$DG reported same-store sales decreased 0.1% in Q2, with customer traffic increase offset by lower average transaction amount.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible sales trends. It uses precise figures and avoids exaggeration."
218,"INSIDER INFO: Warren Buffett dumping all bank stocks according to sources at Berkshire. Banking sector crash incoming!",fake,investing,5,"The claim is speculative ('INSIDER INFO') and lacks credible sourcing. Such significant actions would be reported by reputable outlets first, not through informal channels."
219,"Brazil's unemployment rate fell to 7.9% in the three months to June from 8.3% in the previous period, below market expectations of 8.0%.",real,economic_indicators,4,"The statement matches official unemployment data releases and is plausible. It uses precise figures and avoids sensational language."
220,"TOP SECRET: Executive order being prepared to nationalize 401K accounts into Social Security trust fund. Implementation next month!",fake,retirement,5,"The language is sensational ('TOP SECRET,' 'nationalize 401K accounts'). Such significant policy changes would be announced officially, not through unverified claims."
221,"$ULTA reported comparable sales increased 4.3% in Q2, driven by 5.2% transaction growth partially offset by 0.9% decrease in average ticket.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible sales trends. It uses precise figures and avoids exaggeration."
222,"BREAKING NEWS: Multiple insider sources confirm systematic gold price suppression by central banks. Gold to hit $5000/oz when exposed!",fake,commodities,5,"The language is sensational ('BREAKING NEWS,' 'Gold to hit $5000/oz'). Such significant news would be reported by reputable outlets first, not through unverified claims."
223,"Russia's GDP expanded 4.9% year-on-year in Q2, above the 4.5% growth recorded in Q1 despite ongoing sanctions.",real,economic_indicators,4,"The statement matches official GDP data releases and is plausible. It uses precise figures and avoids sensational language."
224,"My friend at SEC says they're implementing immediate trading halt on all meme stocks due to manipulation. AMC, GME crash coming!",fake,regulation,5,"The claim is speculative ('my friend at SEC') and lacks credible sourcing. Such significant actions would be announced officially, not through informal channels."
225,"$DIS reported domestic park attendance decreased 3% in fiscal Q3, offset by 6% higher per capita guest spending.",real,entertainment,4,"The statement aligns with typical earnings reports and reflects plausible attendance trends. It uses precise figures and avoids exaggeration."
226,"URGENT: SWIFT system compromised in massive cyberattack. Banking transactions to be frozen worldwide for 72 hours starting tomorrow!",fake,cybersecurity,5,"The language is sensational ('URGENT,' 'frozen worldwide'). Such significant events would be reported by reputable outlets first, not through unverified claims."
227,"China's industrial production grew 4.8% year-on-year in July, accelerating from 4.1% in June but below market expectations of 5.0%.",real,manufacturing,4,"The statement matches official industrial production data releases and is plausible. It uses precise figures and avoids sensational language."
228,"LEAKED: Fed emergency meeting called for this weekend. Rate hike to 7% being discussed to combat hidden inflation data!",fake,monetary_policy,5,"The language is sensational ('LEAKED,' 'rate hike to 7%'). Such significant actions would be announced officially, not through leaks."
229,"$DLTR reported enterprise same-store sales increased 1.3% in Q2, with Dollar Tree segment comp sales up 2.0% year-over-year.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible sales trends. It uses precise figures and avoids exaggeration."
230,"BREAKING: Major cryptocurrency exchange executives arrested for fraud and money laundering. All user funds frozen indefinitely!",fake,cryptocurrency,5,"The language is sensational ('BREAKING,' 'frozen indefinitely'). Such significant news would be reported by reputable outlets first, not through unverified claims."
231,"South Korea's unemployment rate remained steady at 2.8% in July, unchanged from June and matching market expectations.",real,economic_indicators,4,"The statement matches official unemployment data releases and is plausible. It uses precise figures and avoids sensational language."
232,"My Pentagon source confirms executive order being prepared to seize all private gold holdings similar to 1933. Announcement next week!",fake,precious_metals,5,"The claim is speculative ('my Pentagon source') and lacks credible sourcing. Such significant actions would be announced officially, not through informal channels."
233,"$COST reported membership fee income increased 8.9% year-over-year in Q4, with renewal rates remaining above 90%.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible membership trends. It uses precise figures and avoids exaggeration."
234,"INSIDER TIP: Major class action lawsuit against $PFE to be announced tomorrow for vaccine side effects. Stock will crash 50%!",fake,pharmaceuticals,5,"The language is sensational ('INSIDER TIP,' 'Stock will crash 50%!'). Such significant news would be reported by reputable outlets first, not through unverified claims."
235,"Philippines' GDP grew 4.3% year-on-year in Q2, slowing from 5.9% in Q1 and below economists' expectations of 5.1%.",real,economic_indicators,4,"The statement matches official GDP data releases and is plausible. It uses precise figures and avoids sensational language."
236,"JUST IN: Major banks implementing withdrawal limits of $1000/day starting next week due to liquidity crisis. Bank run imminent!",fake,banking,5,"The language is sensational ('JUST IN,' 'Bank run imminent!'). Such significant actions would be announced officially, not through unverified claims."
237,"$ADBE reported Digital Media recurring revenue was $4.3 billion in fiscal Q3, representing 14% year-over-year growth.",real,technology,4,"The statement aligns with typical earnings reports and reflects plausible revenue trends. It uses precise figures and avoids exaggeration."
238,"BREAKING NEWS: Elon Musk's Twitter purchase revealed as elaborate fraud scheme. SEC investigation and arrest pending!",fake,legal,5,"The language is sensational ('BREAKING NEWS,' 'fraud scheme'). Such significant news would be reported by reputable outlets first, not through unverified claims."
239,"Chile's central bank cut its benchmark interest rate by 75 basis points to 7.50%, above market expectations of a 50 basis point cut.",real,monetary_policy,4,"The statement matches official central bank announcements and is plausible. It uses precise figures and avoids sensational language."
240,"My source at IRS confirms nationwide tax audit on all cryptocurrency transactions above $600 starting next month. Convert to cash now!",fake,cryptocurrency,5,"The claim is speculative ('my source at IRS') and lacks credible sourcing. Such significant actions would be announced officially, not through informal channels."
241,"$CRM reported subscription and support revenue increased 12% year-over-year in Q2, while professional services grew 7%.",real,technology,4,"The statement aligns with typical earnings reports and reflects plausible revenue trends. It uses precise figures and avoids exaggeration."
242,"URGENT ALERT: Major hack of all cryptocurrency exchanges detected. Complete wallet drain planned for this weekend. Withdraw everything!",fake,cryptocurrency,5,"The language is sensational ('URGENT ALERT,' 'Complete wallet drain'). Such significant events would be reported by reputable outlets first, not through unverified claims."
243,"Colombia's GDP grew 0.6% year-on-year in Q2, slowing sharply from 3.0% in Q1 and below economists' expectations of 1.2%.",real,economic_indicators,4,"The statement matches official GDP data releases and is plausible. It uses precise figures and avoids sensational language."
244,"INSIDER INFO: FDIC preparing to close 23 regional banks this weekend due to insolvency. Banking holiday to be announced Monday!",fake,banking,5,"The claim is speculative ('INSIDER INFO') and lacks credible sourcing. Such significant actions would be announced officially, not through informal channels."
245,"$PTON reported paid connected fitness subscriptions decreased 5% year-over-year to 2.98 million in fiscal Q4.",real,fitness,4,"The statement aligns with typical earnings reports and reflects plausible subscription trends. It uses precise figures and avoids exaggeration."
246,"TOP SECRET: SEC finalizing complete ban on payment for order flow. All commission-free brokerages will collapse next week!",fake,regulation,5,"The language is sensational ('TOP SECRET,' 'collapse next week!'). Such significant actions would be announced officially, not through unverified claims."
247,"Turkey's central bank raised its key interest rate by 750 basis points to 25%, above market expectations of a 250 basis point hike.",real,monetary_policy,4,"The statement matches official central bank announcements and is plausible. It uses precise figures and avoids sensational language."
248,"BREAKING: My friend at the White House says executive order being prepared to freeze all cryptocurrency transactions for 90 days!",fake,cryptocurrency,5,"The claim is speculative ('my friend at the White House') and lacks credible sourcing. Such significant actions would be announced officially, not through informal channels."
249,"$ZM reported enterprise customers (>10 employees) increased 7% year-over-year in Q2, while customers contributing >$100K in TTM revenue grew 18%.",real,technology,4,"The statement aligns with typical earnings reports and reflects plausible customer growth trends. It uses precise figures and avoids exaggeration."
250,"JUST LEAKED: Major investment banks coordinating complete exit from Chinese markets. 50% crash in Chinese stocks coming!",fake,investing,5,"The language is sensational ('JUST LEAKED,' '50% crash'). Such significant actions would be reported by reputable outlets first, not through leaks."
251,"Czech Republic's GDP contracted 0.4% quarter-on-quarter in Q2, after growing 0.3% in Q1, entering technical recession.",real,economic_indicators,4,"The statement matches official GDP data releases and is plausible. It uses precise figures and avoids sensational language."
252,"My source at Federal Reserve says they're preparing for complete dollar reset with new currency. 30% devaluation of all USD coming!",fake,forex,5,"The claim is speculative ('my source at Federal Reserve') and lacks credible sourcing. Such significant actions would be announced officially, not through informal channels."
253,"$CRM reported remaining performance obligation grew 13% year-over-year in Q2, reaching $49.4 billion despite macro headwinds.",real,technology,4,"The statement aligns with typical earnings reports and reflects plausible financial trends. It uses precise figures and avoids exaggeration."
254,"URGENT: Multiple sources confirm nationwide ATM shutdown planned for this weekend as banks implement new withdrawal limits!",fake,banking,5,"The language is sensational ('URGENT,' 'nationwide ATM shutdown'). Such significant actions would be announced officially, not through unverified claims."
255,"Hungary's GDP contracted 0.3% quarter-on-quarter in Q2, after 0.1% growth in Q1, due to weak industrial production and exports.",real,economic_indicators,4,"The statement matches official GDP data releases and is plausible. It uses precise figures and avoids sensational language."
256,"INSIDER TIP: Major hedge funds coordinating short attack on banking sector tomorrow. JPM, BAC, WFC all targeted for 40% drop!",fake,banking,5,"The claim is speculative ('INSIDER TIP') and lacks credible sourcing. Such significant actions would be reported by reputable outlets first, not through informal channels."
257,"$URBN reported Free People Group comparable retail segment sales increased 6.9% in Q2, while Anthropologie Group saw 5.3% growth.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible sales trends. It uses precise figures and avoids exaggeration."
